起点站ID,终点站ID,属性,运行方向,时间
101,102,运行,下行,3
102,101,运行,上行,3
102,103,运行,下行,3
103,102,运行,上行,3
103,104,运行,下行,3
104,103,运行,上行,3
104,105,运行,下行,2
105,104,运行,上行,2
105,106,运行,下行,3
106,105,运行,上行,3
106,107,运行,下行,2
107,106,运行,上行,2
107,108,运行,下行,3
108,107,运行,上行,3
108,109,运行,下行,3
109,108,运行,上行,3
109,110,运行,下行,2
110,109,运行,上行,2
110,111,运行,下行,3
111,110,运行,上行,3
111,112,运行,下行,2
112,111,运行,上行,2
112,113,运行,下行,3
113,112,运行,上行,3
113,114,运行,下行,2
114,113,运行,上行,2
114,115,运行,下行,2
115,114,运行,上行,2
115,116,运行,下行,2
116,115,运行,上行,2
116,117,运行,下行,2
117,116,运行,上行,2
117,118,运行,下行,3
118,117,运行,上行,3
118,119,运行,下行,3
119,118,运行,上行,3
119,120,运行,下行,3
120,119,运行,上行,3
120,121,运行,下行,3
121,120,运行,上行,3
121,122,运行,下行,2
122,121,运行,上行,2
122,123,运行,下行,2
123,122,运行,上行,2
123,124,运行,下行,3
124,123,运行,上行,3
124,125,运行,下行,3
125,124,运行,上行,3
125,126,运行,下行,3
126,125,运行,上行,3
126,127,运行,下行,2
127,126,运行,上行,2
127,128,运行,下行,2
128,127,运行,上行,2
201,202,运行,上行,3
202,201,运行,下行,3
202,203,运行,上行,2
203,202,运行,下行,2
203,204,运行,上行,4
204,203,运行,下行,4
204,205,运行,上行,3
205,204,运行,下行,3
205,206,运行,上行,3
206,205,运行,下行,3
206,207,运行,上行,3
207,206,运行,下行,3
207,208,运行,上行,3
208,207,运行,下行,3
208,209,运行,上行,2
209,208,运行,下行,2
209,210,运行,上行,3
210,209,运行,下行,3
210,211,运行,上行,2
211,210,运行,下行,2
211,212,运行,上行,3
212,211,运行,下行,3
212,213,运行,上行,2
213,212,运行,下行,2
213,214,运行,上行,3
214,213,运行,下行,3
214,215,运行,上行,2
215,214,运行,下行,2
215,216,运行,上行,3
216,215,运行,下行,3
216,217,运行,上行,3
217,216,运行,下行,3
217,218,运行,上行,2
218,217,运行,下行,2
218,219,运行,上行,3
219,218,运行,下行,3
219,220,运行,上行,3
220,219,运行,下行,3
220,221,运行,上行,3
221,220,运行,下行,3
221,222,运行,上行,3
222,221,运行,下行,3
222,223,运行,上行,4
223,222,运行,下行,4
223,224,运行,上行,3
224,223,运行,下行,3
224,225,运行,上行,3
225,224,运行,下行,3
225,226,运行,上行,3
226,225,运行,下行,3
226,227,运行,上行,3
227,226,运行,下行,3
227,228,运行,上行,4
228,227,运行,下行,4
228,229,运行,上行,4
229,228,运行,下行,4
229,230,运行,上行,3
230,229,运行,下行,3
301,302,运行,下行,3
302,301,运行,上行,3
302,303,运行,下行,2
303,302,运行,上行,2
303,304,运行,下行,2
304,303,运行,上行,2
304,305,运行,下行,2
305,304,运行,上行,2
305,306,运行,下行,3
306,305,运行,上行,3
306,307,运行,下行,2
307,306,运行,上行,2
307,308,运行,下行,3
308,307,运行,上行,3
308,309,运行,下行,2
309,308,运行,上行,2
309,310,运行,下行,3
310,309,运行,上行,3
310,311,运行,下行,2
311,310,运行,上行,2
311,312,运行,下行,2
312,311,运行,上行,2
312,313,运行,下行,3
313,312,运行,上行,3
313,314,运行,下行,2
314,313,运行,上行,2
314,315,运行,下行,2
315,314,运行,上行,2
315,316,运行,下行,3
316,315,运行,上行,3
316,317,运行,下行,2
317,316,运行,上行,2
317,318,运行,下行,2
318,317,运行,上行,2
318,319,运行,下行,2
319,318,运行,上行,2
319,320,运行,下行,3
320,319,运行,上行,3
320,321,运行,下行,3
321,320,运行,上行,3
321,322,运行,下行,3
322,321,运行,上行,3
322,323,运行,下行,2
323,322,运行,上行,2
323,324,运行,下行,2
324,323,运行,上行,2
324,325,运行,下行,2
325,324,运行,上行,2
325,326,运行,下行,3
326,325,运行,上行,3
326,327,运行,下行,2
327,326,运行,上行,2
327,328,运行,下行,3
328,327,运行,上行,3
328,329,运行,下行,3
329,328,运行,上行,3
401,402,运行,内圈,3
402,401,运行,外圈,3
402,403,运行,内圈,2
403,402,运行,外圈,2
403,404,运行,内圈,3
404,403,运行,外圈,3
404,405,运行,内圈,2
405,404,运行,外圈,2
405,406,运行,内圈,3
406,405,运行,外圈,3
406,407,运行,内圈,2
407,406,运行,外圈,2
407,408,运行,内圈,2
408,407,运行,外圈,2
408,409,运行,内圈,3
409,408,运行,外圈,3
409,410,运行,内圈,2
410,409,运行,外圈,2
410,411,运行,内圈,2
411,410,运行,外圈,2
411,412,运行,内圈,2
412,411,运行,外圈,2
412,413,运行,内圈,3
413,412,运行,外圈,3
413,414,运行,内圈,2
414,413,运行,外圈,2
414,415,运行,内圈,3
415,414,运行,外圈,3
415,416,运行,内圈,3
416,415,运行,外圈,3
416,417,运行,内圈,2
417,416,运行,外圈,2
417,418,运行,内圈,2
418,417,运行,外圈,2
418,419,运行,内圈,2
419,418,运行,外圈,2
419,420,运行,内圈,3
420,419,运行,外圈,3
420,421,运行,内圈,2
421,420,运行,外圈,2
421,422,运行,内圈,2
422,421,运行,外圈,2
422,423,运行,内圈,2
423,422,运行,外圈,2
423,424,运行,内圈,3
424,423,运行,外圈,3
424,425,运行,内圈,2
425,424,运行,外圈,2
425,426,运行,内圈,2
426,425,运行,外圈,2
426,401,运行,内圈,2
401,426,运行,外圈,2
501,502,运行,下行,3
502,501,运行,上行,3
502,503,运行,下行,3
503,502,运行,上行,3
503,504,运行,下行,3
504,503,运行,上行,3
504,505,运行,下行,2
