站点ID,站点名称,所属线路,开放状态
101,富锦路,1号线,开启
102,友谊西路,1号线,开启
103,宝安公路,1号线,开启
104,共富新村,1号线,开启
105,呼兰路,1号线,开启
106,通河新村,1号线,开启
107,共康路,1号线,开启
108,彭浦新村,1号线,开启
109,汶水路,1号线,开启
110,上海马戏城,1号线,开启
111,延长路,1号线,开启
112,中山北路,1号线,开启
113,上海火车站,1号线,开启
114,汉中路,1号线,开启
115,新闸路,1号线,开启
116,人民广场,1号线,开启
117,一大会址·黄陂南路,1号线,开启
118,陕西南路,1号线,开启
119,常熟路,1号线,开启
120,衡山路,1号线,开启
121,徐家汇,1号线,开启
122,上海体育馆,1号线,开启
123,漕宝路,1号线,开启
124,上海南站,1号线,开启
125,锦江乐园,1号线,开启
126,莲花路,1号线,开启
127,外环路,1号线,开启
128,莘庄,1号线,开启
201,徐泾东,2号线,开启
202,虹桥火车站,2号线,开启
203,虹桥2号航站楼,2号线,开启
204,淞虹路,2号线,开启
205,北新泾,2号线,开启
206,威宁路,2号线,开启
207,娄山关路,2号线,开启
208,中山公园,2号线,开启
209,江苏路,2号线,开启
210,静安寺,2号线,开启
211,南京西路,2号线,开启
212,人民广场,2号线,开启
213,南京东路,2号线,开启
214,陆家嘴,2号线,开启
215,浦东南路,2号线,开启
216,世纪大道,2号线,开启
217,上海科技馆,2号线,开启
218,世纪公园,2号线,开启
219,龙阳路,2号线,开启
220,张江高科,2号线,开启
221,金科路,2号线,开启
222,广兰路,2号线,开启
223,唐镇,2号线,开启
224,创新中路,2号线,开启
225,华夏东路,2号线,开启
226,川沙,2号线,开启
227,凌空路,2号线,开启
228,远东大道,2号线,开启
229,海天三路,2号线,开启
230,浦东1号2号航站楼,2号线,开启
301,上海南站,3号线,开启
302,石龙路,3号线,开启
303,龙漕路,3号线,开启
304,漕溪路,3号线,开启
305,宜山路,3号线,开启
306,虹桥路,3号线,开启
307,延安西路,3号线,开启
308,中山公园,3号线,开启
309,金沙江路,3号线,开启
310,曹杨路,3号线,开启
311,镇坪路,3号线,开启
312,中潭路,3号线,开启
313,上海火车站,3号线,开启
314,宝山路,3号线,开启
315,东宝兴路,3号线,开启
316,虹口足球场,3号线,开启
317,赤峰路,3号线,开启
318,大柏树,3号线,开启
319,江湾镇,3号线,开启
320,殷高西路,3号线,开启
321,长江南路,3号线,开启
322,淞发路,3号线,开启
323,张华浜,3号线,开启
324,淞滨路,3号线,开启
325,水产路,3号线,开启
326,宝杨路,3号线,开启
327,友谊路,3号线,开启
328,铁力路,3号线,开启
329,江杨北路,3号线,开启
401,宜山路,4号线,开启
402,虹桥路,4号线,开启
403,延安西路,4号线,开启
404,中山公园,4号线,开启
405,金沙江路,4号线,开启
406,曹杨路,4号线,开启
407,镇坪路,4号线,开启
408,中潭路,4号线,开启
409,上海火车站,4号线,开启
410,宝山路,4号线,开启
411,海伦路,4号线,开启
412,临平路,4号线,开启
413,大连路,4号线,开启
414,杨树浦路,4号线,开启
415,浦东大道,4号线,开启
416,世纪大道,4号线,开启
417,向城路,4号线,开启
418,蓝村路,4号线,开启
419,塘桥,4号线,开启
420,南浦大桥,4号线,开启
421,西藏南路,4号线,开启
422,鲁班路,4号线,开启
423,大木桥路,4号线,开启
424,东安路,4号线,开启
425,上海体育场,4号线,开启
426,上海体育馆,4号线,开启
501,莘庄,5号线,开启
502,春申路,5号线,开启
503,银都路,5号线,开启
504,颛桥,5号线,开启
505,北桥,5号线,开启
506,剑川路,5号线,开启
507,东川路,5号线,开启
508,江川路,5号线,开启
509,西渡,5号线,开启
510,萧塘,5号线,开启
511,奉浦大道,5号线,开启
512,环城东路,5号线,开启
513,望园路,5号线,开启
514,金海湖,5号线,开启
515,奉贤新城,5号线,开启
516,金平路,5号线支线,开启
517,华宁路,5号线支线,开启
518,文井路,5号线支线,开启
519,闵行开发区,5号线支线,开启
601,港城路,6号线,开启
602,外高桥保税区北,6号线,开启
603,航津路,6号线,开启
604,外高桥保税区南,6号线,开启
605,洲海路,6号线,开启
606,五洲大道,6号线,开启
607,东靖路,6号线,开启
608,巨峰路,6号线,开启
609,五莲路,6号线,开启
610,博兴路,6号线,开启
611,金桥路,6号线,开启
612,云山路,6号线,开启
613,德平路,6号线,开启
614,北洋泾路,6号线,开启
615,民生路,6号线,开启
616,源深体育中心,6号线,开启
617,世纪大道,6号线,开启
618,浦电路,6号线,开启
619,蓝村路,6号线,开启
620,上海儿童医学中心,6号线,开启
621,临沂新村,6号线,开启
622,高科西路,6号线,开启
623,东明路,6号线,开启
624,高青路,6号线,开启
625,华夏西路,6号线,开启
626,上南路,6号线,开启
627,灵岩南路,6号线,开启
628,东方体育中心,6号线,开启
701,美兰湖,7号线,开启
702,罗南新村,7号线,开启
703,潘广路,7号线,开启
704,刘行,7号线,开启
705,顾村公园,7号线,开启
706,祁华路,7号线,开启
707,上海大学,7号线,开启
708,南陈路,7号线,开启
709,上大路,7号线,开启
710,场中路,7号线,开启
711,大场镇,7号线,开启
712,行知路,7号线,开启
713,大华三路,7号线,开启
714,新村路,7号线,开启
715,岚皋路,7号线,开启
716,镇坪路,7号线,开启
717,长寿路,7号线,开启
718,昌平路,7号线,开启
719,静安寺,7号线,开启
720,常熟路,7号线,开启
721,肇嘉浜路,7号线,开启
722,东安路,7号线,开启
723,龙华中路,7号线,开启
724,后滩,7号线,开启
725,长清路,7号线,开启
726,耀华路,7号线,开启
727,云台路,7号线,开启
728,高科西路,7号线,开启
729,杨高南路,7号线,开启
730,锦绣路,7号线,开启
731,芳华路,7号线,开启
732,龙阳路,7号线,开启
733,花木路,7号线,开启
801,市光路,8号线,开启
802,嫩江路,8号线,开启
803,翔殷路,8号线,开启
804,黄兴公园,8号线,开启
805,延吉中路,8号线,开启
806,黄兴路,8号线,开启
807,江浦路,8号线,开启
808,鞍山新村,8号线,开启
809,四平路,8号线,开启
810,曲阳路,8号线,开启
811,虹口足球场,8号线,开启
812,西藏北路,8号线,开启
813,中兴路,8号线,开启
814,曲阜路,8号线,开启
815,人民广场,8号线,开启
816,大世界,8号线,开启
817,老西门,8号线,开启
818,陆家浜路,8号线,开启
819,西藏南路,8号线,开启
820,中华艺术宫,8号线,开启
821,耀华路,8号线,开启
822,成山路,8号线,开启
823,杨思,8号线,开启
824,东方体育中心,8号线,开启
825,凌兆新村,8号线,开启
826,芦恒路,8号线,开启
827,浦江镇,8号线,开启
828,江月路,8号线,开启
829,联航路,8号线,开启
830,沈杜公路,8号线,开启
901,上海松江站,9号线,开启
902,醉白池,9号线,开启
903,松江体育中心,9号线,开启
904,松江新城,9号线,开启
905,松江大学城,9号线,开启
906,洞泾,9号线,开启
907,佘山,9号线,开启
908,泗泾,9号线,开启
909,九亭,9号线,开启
910,中春路,9号线,开启
911,七宝,9号线,开启
912,星中路,9号线,开启
913,合川路,9号线,开启
914,漕河泾开发区,9号线,开启
915,桂林路,9号线,开启
916,宜山路,9号线,开启
917,徐家汇,9号线,开启
918,肇嘉浜路,9号线,开启
919,嘉善路,9号线,开启
920,打浦桥,9号线,开启
921,马当路,9号线,开启
922,陆家浜路,9号线,开启
923,小南门,9号线,开启
924,商城路,9号线,开启
925,世纪大道,9号线,开启
926,杨高中路,9号线,开启
927,芳甸路,9号线,开启
928,蓝天路,9号线,开启
929,台儿庄路,9号线,开启
930,金桥,9号线,开启
931,金吉路,9号线,开启
932,金海路,9号线,开启
933,顾唐路,9号线,开启
934,民雷路,9号线,开启
935,曹路,9号线,开启
1001,虹桥火车站,10号线,开启
1002,虹桥2号航站楼,10号线,开启
1003,虹桥1号航站楼,10号线,开启
1004,上海动物园,10号线,开启
1005,龙溪路,10号线,开启
1006,水城路,10号线,开启
1007,伊犁路,10号线,开启
1008,宋园路,10号线,开启
1009,虹桥路,10号线,开启
1010,交通大学,10号线,开启
1011,上海图书馆,10号线,开启
1012,陕西南路,10号线,开启
1013,一大会址·新天地,10号线,开启
1014,老西门,10号线,开启
1015,豫园,10号线,开启
1016,南京东路,10号线,开启
1017,天潼路,10号线,开启
1018,四川北路,10号线,开启
1019,海伦路,10号线,开启
1020,邮电新村,10号线,开启
1021,四平路,10号线,开启
1022,同济大学,10号线,开启
1023,国权路,10号线,开启
1024,五角场,10号线,开启
1025,江湾体育场,10号线,开启
1026,三门路,10号线,开启
1027,殷高东路,10号线,开启
1028,新江湾城,10号线,开启
1029,龙柏新村,10号线支线,开启
1030,紫藤路,10号线支线,开启
1031,航中路,10号线支线,开启
1101,迪士尼,11号线,开启
1102,康新公路,11号线,开启
1103,秀沿路,11号线,开启
1104,罗山路,11号线,开启
1105,御桥,11号线,开启
1106,浦三路,11号线,开启
1107,三林东,11号线,开启
1108,三林,11号线,开启
1109,东方体育中心,11号线,开启
1110,龙耀路,11号线,开启
1111,云锦路,11号线,开启
1112,龙华,11号线,开启
1113,上海游泳馆,11号线,开启
1114,徐家汇,11号线,开启
1115,交通大学,11号线,开启
1116,江苏路,11号线,开启
1117,隆德路,11号线,开启
1118,曹杨路,11号线,开启
1119,枫桥路,11号线,开启
1120,真如,11号线,开启
1121,上海西站,11号线,开启
1122,李子园,11号线,开启
1123,祁连山路,11号线,开启
1124,武威路,11号线,开启
1125,桃浦新村,11号线,开启
1126,南翔,11号线,开启
1127,陈翔公路,11号线,开启
1128,马陆,11号线,开启
1129,嘉定新城,11号线,开启
1130,白银路,11号线,开启
1131,嘉定西,11号线,开启
1132,嘉定北,11号线,开启
1133,上海赛车场,11号线支线,开启
1134,昌吉东路,11号线支线,开启
1135,上海汽车城,11号线支线,开启
1136,安亭,11号线支线,开启
1137,兆丰路,11号线支线,开启
1138,光明路,11号线支线,开启
1139,花桥,11号线支线,开启
